model,split,epoch,accuracy
Xenova/paraphrase-MiniLM-L3-v2,val,17,0.33146417140960693
Xenova/paraphrase-MiniLM-L3-v2,test,17,0.504487156867981
Xenova/paraphrase-MiniLM-L3-v2,train,18,0.9538336396217346
Xenova/paraphrase-MiniLM-L3-v2,val,18,0.3420560657978058
Xenova/paraphrase-MiniLM-L3-v2,test,18,0.514102578163147
Xenova/paraphrase-MiniLM-L3-v2,train,19,0.958055317401886
Xenova/paraphrase-MiniLM-L3-v2,val,19,0.32959502935409546
Xenova/paraphrase-MiniLM-L3-v2,test,19,0.5064102411270142
Xenova/paraphrase-MiniLM-L3-v2,train,20,0.9599618911743164
Xenova/paraphrase-MiniLM-L3-v2,val,20,0.3376947045326233
Xenova/paraphrase-MiniLM-L3-v2,test,20,0.5038461685180664
Xenova/paraphrase-MiniLM-L3-v2,train,21,0.9629579782485962
Xenova/paraphrase-MiniLM-L3-v2,val,21,0.3302180767059326
Xenova/paraphrase-MiniLM-L3-v2,test,21,0.5012820363044739
Xenova/paraphrase-MiniLM-L3-v2,train,22,0.9677243828773499
Xenova/paraphrase-MiniLM-L3-v2,val,22,0.33707165718078613
Xenova/paraphrase-MiniLM-L3-v2,test,22,0.5012820363044739
Xenova/paraphrase-MiniLM-L3-v2,train,23,0.9684053063392639
Xenova/paraphrase-MiniLM-L3-v2,val,23,0.3345794379711151
Xenova/paraphrase-MiniLM-L3-v2,test,23,0.49871793389320374
Xenova/paraphrase-MiniLM-L3-v2,train,24,0.9707204699516296
Xenova/paraphrase-MiniLM-L3-v2,val,24,0.3277258574962616
Xenova/paraphrase-MiniLM-L3-v2,test,24,0.49935898184776306
Xenova/paraphrase-MiniLM-L3-v2,train,25,0.9757592678070068
Xenova/paraphrase-MiniLM-L3-v2,val,25,0.3401869237422943
Xenova/paraphrase-MiniLM-L3-v2,test,25,0.5083333253860474
Xenova/paraphrase-MiniLM-L3-v2,train,26,0.974942147731781
Xenova/paraphrase-MiniLM-L3-v2,val,26,0.32834890484809875
Xenova/paraphrase-MiniLM-L3-v2,test,26,0.5019230842590332
Xenova/paraphrase-MiniLM-L3-v2,train,27,0.9767125844955444
Xenova/paraphrase-MiniLM-L3-v2,val,27,0.32959502935409546
Xenova/paraphrase-MiniLM-L3-v2,test,27,0.5006410479545593
Xenova/paraphrase-MiniLM-L3-v2,train,28,0.9794362187385559
Xenova/paraphrase-MiniLM-L3-v2,val,28,0.3345794379711151
Xenova/paraphrase-MiniLM-L3-v2,test,28,0.5089743733406067
Xenova/paraphrase-MiniLM-L3-v2,train,29,0.9797086119651794
Xenova/paraphrase-MiniLM-L3-v2,val,29,0.33395639061927795
Xenova/paraphrase-MiniLM-L3-v2,test,29,0.49935898184776306
Xenova/all-mpnet-base-v2,train,0,0.5563121438026428
Xenova/all-mpnet-base-v2,val,0,0.3769470453262329
Xenova/all-mpnet-base-v2,test,0,0.5333333611488342
Xenova/all-mpnet-base-v2,train,1,0.8004903197288513
Xenova/all-mpnet-base-v2,val,1,0.3825545310974121
Xenova/all-mpnet-base-v2,test,1,0.5423076748847961
Xenova/all-mpnet-base-v2,train,2,0.8523764610290527
Xenova/all-mpnet-base-v2,val,2,0.3869158923625946
Xenova/all-mpnet-base-v2,test,2,0.5378205180168152
Xenova/all-mpnet-base-v2,train,3,0.8763448596000671
Xenova/all-mpnet-base-v2,val,3,0.3769470453262329
Xenova/all-mpnet-base-v2,test,3,0.5153846144676208
Xenova/all-mpnet-base-v2,train,4,0.8932316899299622
Xenova/all-mpnet-base-v2,val,4,0.3769470453262329
Xenova/all-mpnet-base-v2,test,4,0.5262820720672607
Xenova/all-mpnet-base-v2,train,5,0.9026284217834473
Xenova/all-mpnet-base-v2,val,5,0.36635515093803406
Xenova/all-mpnet-base-v2,test,5,0.5089743733406067
Xenova/all-mpnet-base-v2,train,6,0.9129784107208252
Xenova/all-mpnet-base-v2,val,6,0.3644859790802002
Xenova/all-mpnet-base-v2,test,6,0.5147435665130615
Xenova/all-mpnet-base-v2,train,7,0.9207409024238586
Xenova/all-mpnet-base-v2,val,7,0.34828659892082214
Xenova/all-mpnet-base-v2,test,7,0.504487156867981
Xenova/all-mpnet-base-v2,train,8,0.9267330169677734
Xenova/all-mpnet-base-v2,val,8,0.3532710373401642
Xenova/all-mpnet-base-v2,test,8,0.504487156867981
Xenova/all-mpnet-base-v2,train,9,0.935176432132721
Xenova/all-mpnet-base-v2,val,9,0.3320872187614441
Xenova/all-mpnet-base-v2,test,9,0.4871794879436493
Xenova/all-mpnet-base-v2,train,10,0.9384448528289795
Xenova/all-mpnet-base-v2,val,10,0.35389408469200134
Xenova/all-mpnet-base-v2,test,10,0.5083333253860474
Xenova/all-mpnet-base-v2,train,11,0.9430750608444214
Xenova/all-mpnet-base-v2,val,11,0.3376947045326233
Xenova/all-mpnet-base-v2,test,11,0.504487156867981
Xenova/all-mpnet-base-v2,train,12,0.9490671753883362
